tenure,PhoneService,MonthlyCharges,TotalCharges,Churn,Month-to-month,One year,Two year,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,yj_tenure,yj_monthly_charges,yj_total_charges,MonthlyCharges_over_Median
1,0,29.85,29.85,0,1,0,0,0,0,1,0,-1.64951068859475,-1.1599961237776697,-1.8100685371041003,-40.5
34,1,56.95,1889.5,0,0,1,0,0,0,0,1,0.29446662195478274,-0.24134545603421584,0.2542565197903723,-13.4
2,1,53.85,108.15,1,1,0,0,0,0,0,1,-1.5006572680319321,-0.344531925824614,-1.386090978578088,-16.5
45,0,42.3,1840.75,0,0,1,0,1,0,0,0,0.6444812735320022,-0.7328752337596086,0.23321992355526153,-28.05
2,1,70.7,151.65,1,1,0,0,0,0,1,0,-1.5006572680319321,0.21188438992439285,-1.2488081905485162,0.35
8,1,99.65,820.5,1,1,0,0,0,0,1,0,-0.9312131934186263,1.1472026268548312,-0.3527256075944146,29.3
22,1,89.1,1949.4,0,1,0,0,0,1,0,0,-0.1664493239068418,0.8089137705883406,0.2795571275336392,18.75
10,0,29.75,301.9,0,1,0,0,0,0,0,1,-0.7934821062361607,-1.1634711343505204,-0.9293126268811523,-40.6
28,1,104.8,3046.05,1,1,0,0,0,0,1,0,0.07729694625567074,1.3114067942320105,0.6641881939570082,34.45
62,1,56.15,3487.95,0,0,1,0,1,0,0,0,1.1039196022329891,-0.26793575529964625,0.7898135114999132,-14.2
13,1,49.95,587.45,0,1,0,0,0,0,0,1,-0.6107472632943244,-0.47494144198730714,-0.5619697986998023,-20.4
16,1,18.95,326.8,0,0,0,1,0,1,0,0,-0.448619898948372,-1.5442327947830372,-0.8887832597724422,-51.4
58,1,100.35,5681.1,0,0,1,0,0,1,0,0,1.002685710588044,1.1695561080228738,1.2796993998657018,30.0
49,1,103.7,5036.3,1,1,0,0,1,0,0,0,0.7600695254995882,1.2763827862164063,1.1530253153659191,33.35
25,1,105.5,2686.05,0,1,0,0,0,0,1,0,-0.040679185263632685,1.3336812918032612,0.5513556463063777,35.15
69,1,113.25,7895.15,0,0,0,1,0,1,0,0,1.2728631746441463,1.5796115050701336,1.6461330407288817,42.9
52,1,20.65,1022.95,0,0,1,0,0,0,0,1,0.8434416676242629,-1.4834824996172558,-0.20454661913485447,-49.7
71,1,106.7,7382.25,0,0,0,1,1,0,0,0,1.3193994974194543,1.3718419479260666,1.568839936244438,36.35
10,1,55.2,528.35,1,1,0,0,0,1,0,0,-0.7934821062361607,-0.29954619499377955,-0.624736473845951,-15.15
21,1,90.05,1862.9,0,1,0,0,0,0,1,0,-0.21037318606620267,0.8394867833687001,0.24282898226789107,19.7
